feature,mode,holiday,country,date,year
holiday,auto,Spring Bank Holiday,UK,2001-05-28,2001
holiday,auto,Battle of the Boyne [Northern Ireland],UK,2001-07-12,2001
holiday,auto,Summer Bank Holiday [Scotland],UK,2001-08-06,2001
holiday,auto,Late Summer Bank Holiday [England/Wales/Northern Ireland],UK,2001-08-27,2001
holiday,auto,St. Andrew's Day [Scotland],UK,2001-11-30,2001
holiday,auto,Christmas Day,UK,2001-12-25,2001
holiday,auto,Boxing Day,UK,2001-12-26,2001
holiday,auto,New Year's Day,UK,2002-01-01,2002
holiday,auto,New Year Holiday [Scotland],UK,2002-01-02,2002
holiday,auto,St. Patrick's Day [Northern Ireland],UK,2002-03-17,2002
holiday,auto,St. Patrick's Day [Northern Ireland] (Observed),UK,2002-03-18,2002
holiday,auto,Good Friday,UK,2002-03-29,2002
holiday,auto,Easter Monday [England/Wales/Northern Ireland],UK,2002-04-01,2002
holiday,auto,May Day,UK,2002-05-06,2002
holiday,auto,Spring Bank Holiday,UK,2002-05-27,2002
holiday,auto,Golden Jubilee of Elizabeth II,UK,2002-06-03,2002
holiday,auto,Battle of the Boyne [Northern Ireland],UK,2002-07-12,2002
holiday,auto,Summer Bank Holiday [Scotland],UK,2002-08-05,2002
holiday,auto,Late Summer Bank Holiday [England/Wales/Northern Ireland],UK,2002-08-26,2002
holiday,auto,St. Andrew's Day [Scotland],UK,2002-11-30,2002
holiday,auto,Christmas Day,UK,2002-12-25,2002
holiday,auto,Boxing Day,UK,2002-12-26,2002
holiday,auto,New Year's Day,UK,2003-01-01,2003
holiday,auto,New Year Holiday [Scotland],UK,2003-01-02,2003
holiday,auto,St. Patrick's Day [Northern Ireland],UK,2003-03-17,2003
holiday,auto,Good Friday,UK,2003-04-18,2003
holiday,auto,Easter Monday [England/Wales/Northern Ireland],UK,2003-04-21,2003
holiday,auto,May Day,UK,2003-05-05,2003
holiday,auto,Spring Bank Holiday,UK,2003-05-26,2003
holiday,auto,Battle of the Boyne [Northern Ireland],UK,2003-07-12,2003
holiday,auto,Summer Bank Holiday [Scotland],UK,2003-08-04,2003
holiday,auto,Late Summer Bank Holiday [England/Wales/Northern Ireland],UK,2003-08-25,2003
holiday,auto,St. Andrew's Day [Scotland],UK,2003-11-30,2003
holiday,auto,Christmas Day,UK,2003-12-25,2003
holiday,auto,Boxing Day,UK,2003-12-26,2003
holiday,auto,New Year's Day,UK,2004-01-01,2004
holiday,auto,New Year Holiday [Scotland],UK,2004-01-02,2004
holiday,auto,St. Patrick's Day [Northern Ireland],UK,2004-03-17,2004
holiday,auto,Good Friday,UK,2004-04-09,2004
holiday,auto,Easter Monday [England/Wales/Northern Ireland],UK,2004-04-12,2004
holiday,auto,May Day,UK,2004-05-03,2004
holiday,auto,Spring Bank Holiday,UK,2004-05-31,2004
holiday,auto,Battle of the Boyne [Northern Ireland],UK,2004-07-12,2004
holiday,auto,Summer Bank Holiday [Scotland],UK,2004-08-02,2004
holiday,auto,Late Summer Bank Holiday [England/Wales/Northern Ireland],UK,2004-08-30,2004
holiday,auto,St. Andrew's Day [Scotland],UK,2004-11-30,2004
holiday,auto,Christmas Day,UK,2004-12-25,2004
holiday,auto,Boxing Day,UK,2004-12-26,2004
holiday,auto,Christmas Day (Observed),UK,2004-12-27,2004
holiday,auto,Boxing Day (Observed),UK,2004-12-28,2004
holiday,auto,New Year's Day,UK,2005-01-01,2005
holiday,auto,New Year Holiday [Scotland],UK,2005-01-02,2005
holiday,auto,New Year's Day (Observed),UK,2005-01-03,2005
holiday,auto,New Year Holiday [Scotland] (Observed),UK,2005-01-04,2005
holiday,auto,St. Patrick's Day [Northern Ireland],UK,2005-03-17,2005
holiday,auto,Good Friday,UK,2005-03-25,2005
holiday,auto,Easter Monday [England/Wales/Northern Ireland],UK,2005-03-28,2005
holiday,auto,May Day,UK,2005-05-02,2005
holiday,auto,Spring Bank Holiday,UK,2005-05-30,2005
