component,total_mean,total_lower_5,total_upper_95,share_mean,share_lower_5,share_upper_95
intercept,4.7027928632655203e8,4.4767559540209574e8,4.920415381456146e8,0.8223502399237482,0.7832618883878443,0.8580585515695968
media:channel_1,3.389702449425884e7,2.4755781059558645e7,4.332742005514293e7,0.0592832492358279,0.04321539520566007,0.0764354386247434
media:channel_2,1.1995925897910697e7,3.847682419495281e6,2.2258790519288756e7,0.02097071814431839,0.006782121401320986,0.03885171896944163
media:channel_3,1.0848815546288686e7,5.464172506386677e6,1.698461945736947e7,0.01896858486303903,0.009668053794689052,0.029989282146809813
media:channel_4,2.7026989651094463e7,1.5457621681148421e7,3.931827341145921e7,0.04726039754981825,0.027320127226046386,0.06874510861394793
media:channel_5,1.1974721033387903e7,4.2033903501826795e6,2.2544005857098665e7,0.020937263589376396,0.00734386586792126,0.039835169973586555
media:channel_6,1.2589459722295646e7,4.1520458674906134e6,2.3553740105062786e7,0.02201737461066054,0.007278242646943627,0.04100216230152586
holiday,-5.9162854157939395e6,-9.612154543984719e6,-2.1053595004874053e6,-0.010344156497775288,-0.016755470309524404,-0.003671569085248257
seasonality,-825536.3795262174,-905261.0817093865,-745893.1830245528,-0.0014436714190135063,-0.0015888875679793547,-0.0013004692512562613
