component,total_mean,total_lower_5,total_upper_95,share_mean,share_lower_5,share_upper_95
intercept,3965.1340211171714,3627.7197907378372,4318.32649126093,0.5578518372714605,0.45410227523174074,0.7552018138987078
media:channel_1,839.6507070483274,698.7709126462197,984.466572613888,0.11813540941874051,0.08752123185645223,0.16296181317592193
media:channel_2,816.9804813021323,656.9736954690065,973.2565865604416,0.1149989308046451,0.0849885062421482,0.15879906939950855
media:channel_3,791.1321278395221,633.3785674920786,955.9148666295525,0.11124143961194011,0.0811643119795979,0.15122683546152105
media:channel_4,862.4396500330157,701.0479880658016,1036.312310004656,0.12155628705541138,0.08777912440297846,0.1674576539249313
media:channel_5,962.8583550310358,797.8482337829064,1146.7341137786561,0.13536853065194937,0.10265565192718369,0.18671074351103764
media:channel_6,967.1673674151378,813.0542101012053,1143.1096802600139,0.13596526600158407,0.1031091421810252,0.18257702446703475
seasonality,-1939.2896802148523,-3858.2820598083517,-492.75812427336774,-0.2951177008157311,-0.7356765636229768,-0.05873898020216009
