component,total_mean,total_lower_5,total_upper_95,share_mean,share_lower_5,share_upper_95
intercept,87.70287406777581,87.70283319066974,87.70291343158806,0.2393024760730605,0.23930243166776283,0.23930253258294437
media:channel_1,86.02748759653616,86.02744236709998,86.02754756237731,0.23473108505299348,0.23473101215853967,0.2347311870949409
media:channel_2,26.172640283808704,26.17263441049108,26.172645090512884,0.071413596097719,0.07141357825581313,0.07141362184362782
media:channel_3,15.25548404246499,15.255481052236505,15.255487962743532,0.04162548997235663,0.04162547985356514,0.04162549753533559
media:channel_4,43.6726498555037,43.672614627000826,43.67268430362246,0.1191634066520915,0.11916327926822176,0.11916353225754718
media:channel_5,83.51622658795003,83.51619170488229,83.51626458367387,0.2278789609486548,0.22787889789844704,0.22787901927686027
media:channel_6,24.756597788939636,24.756574453402038,24.756613751264638,0.0675498404471856,0.06754979541760264,0.0675498683697654
seasonality,-0.6101591266712257,-0.610159472219163,-0.61015855710892,-0.00166485524406143,-0.0016648558425478906,-0.001664854152204628
