observation,date,panel,geo,residual
119,2023-05-15,FR,FR,-229513.87863377063
120,2023-05-22,FR,FR,9521.832212629495
121,2023-05-29,FR,FR,152448.9786021104
122,2023-06-05,FR,FR,23939.13891368243
123,2023-06-12,FR,FR,532840.950705285
124,2023-06-19,FR,FR,-166063.6077367079
125,2023-06-26,FR,FR,-69259.41113422578
126,2023-07-03,FR,FR,-121155.7228566769
127,2023-07-10,FR,FR,-102699.96493958286
128,2023-07-17,FR,FR,-211160.30576609564
129,2023-07-24,FR,FR,-117104.75896474521
130,2023-07-31,FR,FR,837579.3026483217
131,2023-08-07,FR,FR,48815.871815975406
132,2023-08-14,FR,FR,36787.72318902088
133,2023-08-21,FR,FR,-169351.49597261962
134,2023-08-28,FR,FR,-150322.9947000069
135,2023-09-04,FR,FR,-143994.6165092776
136,2023-09-11,FR,FR,-85519.77224950062
137,2023-09-18,FR,FR,39589.95378293493
138,2023-09-25,FR,FR,136616.43060927757
139,2023-10-02,FR,FR,-14863.420769391814
140,2023-10-09,FR,FR,138040.10019853478
141,2023-10-16,FR,FR,-120913.07251182827
142,2023-10-23,FR,FR,148334.97089604102
143,2023-10-30,FR,FR,33334.63709447975
144,2023-11-06,FR,FR,-99315.3511405401
145,2023-11-13,FR,FR,196319.39627399365
146,2023-11-20,FR,FR,258487.66012520646
147,2023-11-27,FR,FR,353792.85767410323
148,2023-12-04,FR,FR,-57865.636783139315
149,2023-12-11,FR,FR,-187364.51673063706
150,2023-12-18,FR,FR,-564557.7557721874
151,2023-12-25,FR,FR,-56597.35289437696
152,2024-01-01,FR,FR,-511844.0827011117
153,2024-01-08,FR,FR,-15590.698032218497
154,2024-01-15,FR,FR,-18124.45665632654
155,2024-01-22,FR,FR,56489.589521073736
156,2024-01-29,FR,FR,359575.6411169893
157,2024-02-05,FR,FR,270682.7430204237
158,2024-02-12,FR,FR,217221.56680207886
159,2024-02-19,FR,FR,94565.65947658289
160,2024-02-26,FR,FR,-49014.15245443862
161,2024-03-04,FR,FR,-178122.47602998046
162,2024-03-11,FR,FR,808801.6307264133
163,2024-03-18,FR,FR,-125658.87420113059
164,2024-03-25,FR,FR,-326596.0107783796
165,2024-04-01,FR,FR,-43415.710525
166,2024-04-08,FR,FR,-76177.75015562028
167,2024-04-15,FR,FR,51929.3524430017
168,2024-04-22,FR,FR,-14222.810535600409
169,2024-04-29,FR,FR,163961.51287336624
170,2024-05-06,FR,FR,473172.8369024473
171,2024-05-13,FR,FR,-388227.93052460207
172,2024-05-20,FR,FR,-68172.79732754524
173,2024-05-27,FR,FR,-238759.14224463864
174,2024-06-03,FR,FR,-335266.94430729654
175,2024-06-10,FR,FR,-53254.07559542358
176,2024-06-17,FR,FR,87429.03873919742
177,2024-06-24,FR,FR,-177016.64630158967
178,2024-07-01,FR,FR,680736.3244764507
179,2024-07-08,FR,FR,-72066.31871567131
180,2024-07-15,FR,FR,907295.9039245474
181,2024-07-22,FR,FR,-349363.1834686274
182,2024-07-29,FR,FR,-93114.58305282798
183,2024-08-05,FR,FR,-149215.0972799362
184,2024-08-12,FR,FR,-52782.70135841309
185,2024-08-19,FR,FR,-286398.5352158804
186,2024-08-26,FR,FR,-197313.71412915725
187,2024-09-02,FR,FR,-162827.82117669494
188,2024-09-09,FR,FR,-136833.7138146885
189,2024-09-16,FR,FR,-181996.82974044746
190,2024-09-23,FR,FR,91879.59158946644
191,2024-09-30,FR,FR,-36147.694266789826
192,2024-10-07,FR,FR,93355.4000598006
193,2024-10-14,FR,FR,81523.91565286973
194,2024-10-21,FR,FR,86256.8875181051
195,2024-10-28,FR,FR,-162306.13997148722
196,2024-11-04,FR,FR,395610.5509074405
197,2024-11-11,FR,FR,326469.43690485973
198,2024-11-18,FR,FR,174058.68222117866
199,2024-11-25,FR,FR,-218394.064337502
200,2024-12-02,FR,FR,-138419.3784570829
201,2024-12-09,FR,FR,-77087.13162381109
202,2024-12-16,FR,FR,-279525.6698789643
203,2024-12-23,FR,FR,153948.6207402083
204,2024-12-30,FR,FR,-203660.53243071213
205,2025-01-06,FR,FR,-275129.85520610167
206,2025-01-13,FR,FR,-120600.58308607247
207,2025-01-20,FR,FR,439031.13836976234
208,2025-01-27,FR,FR,137647.59357822454
209,2023-02-06,DE,DE,95508.46781422338
210,2023-02-13,DE,DE,-32018.75528491661
211,2023-02-20,DE,DE,75161.78889456624
212,2023-02-27,DE,DE,3364.019139241427
213,2023-03-06,DE,DE,-211634.7194524454
