feature,mode,holiday,country,date,year
holiday,auto,Zweiter Weihnachtstag,DE,2006-12-26,2006
holiday,auto,Neujahr,DE,2007-01-01,2007
holiday,auto,Karfreitag,DE,2007-04-06,2007
holiday,auto,Ostermontag,DE,2007-04-09,2007
holiday,auto,Erster Mai,DE,2007-05-01,2007
holiday,auto,Christi Himmelfahrt,DE,2007-05-17,2007
holiday,auto,Pfingstmontag,DE,2007-05-28,2007
holiday,auto,Tag der Deutschen Einheit,DE,2007-10-03,2007
holiday,auto,Erster Weihnachtstag,DE,2007-12-25,2007
holiday,auto,Zweiter Weihnachtstag,DE,2007-12-26,2007
holiday,auto,Neujahr,DE,2008-01-01,2008
holiday,auto,Karfreitag,DE,2008-03-21,2008
holiday,auto,Ostermontag,DE,2008-03-24,2008
holiday,auto,Christi Himmelfahrt,DE,2008-05-01,2008
holiday,auto,Erster Mai,DE,2008-05-01,2008
holiday,auto,Pfingstmontag,DE,2008-05-12,2008
holiday,auto,Tag der Deutschen Einheit,DE,2008-10-03,2008
holiday,auto,Erster Weihnachtstag,DE,2008-12-25,2008
holiday,auto,Zweiter Weihnachtstag,DE,2008-12-26,2008
holiday,auto,Neujahr,DE,2009-01-01,2009
holiday,auto,Karfreitag,DE,2009-04-10,2009
holiday,auto,Ostermontag,DE,2009-04-13,2009
holiday,auto,Erster Mai,DE,2009-05-01,2009
holiday,auto,Christi Himmelfahrt,DE,2009-05-21,2009
holiday,auto,Pfingstmontag,DE,2009-06-01,2009
holiday,auto,Tag der Deutschen Einheit,DE,2009-10-03,2009
holiday,auto,Erster Weihnachtstag,DE,2009-12-25,2009
holiday,auto,Zweiter Weihnachtstag,DE,2009-12-26,2009
holiday,auto,Neujahr,DE,2010-01-01,2010
holiday,auto,Karfreitag,DE,2010-04-02,2010
holiday,auto,Ostermontag,DE,2010-04-05,2010
holiday,auto,Erster Mai,DE,2010-05-01,2010
holiday,auto,Christi Himmelfahrt,DE,2010-05-13,2010
holiday,auto,Pfingstmontag,DE,2010-05-24,2010
holiday,auto,Tag der Deutschen Einheit,DE,2010-10-03,2010
holiday,auto,Erster Weihnachtstag,DE,2010-12-25,2010
holiday,auto,Zweiter Weihnachtstag,DE,2010-12-26,2010
holiday,auto,Neujahr,DE,2011-01-01,2011
holiday,auto,Karfreitag,DE,2011-04-22,2011
holiday,auto,Ostermontag,DE,2011-04-25,2011
holiday,auto,Erster Mai,DE,2011-05-01,2011
holiday,auto,Christi Himmelfahrt,DE,2011-06-02,2011
holiday,auto,Pfingstmontag,DE,2011-06-13,2011
holiday,auto,Tag der Deutschen Einheit,DE,2011-10-03,2011
holiday,auto,Erster Weihnachtstag,DE,2011-12-25,2011
holiday,auto,Zweiter Weihnachtstag,DE,2011-12-26,2011
holiday,auto,Neujahr,DE,2012-01-01,2012
holiday,auto,Karfreitag,DE,2012-04-06,2012
holiday,auto,Ostermontag,DE,2012-04-09,2012
holiday,auto,Erster Mai,DE,2012-05-01,2012
holiday,auto,Christi Himmelfahrt,DE,2012-05-17,2012
holiday,auto,Pfingstmontag,DE,2012-05-28,2012
holiday,auto,Tag der Deutschen Einheit,DE,2012-10-03,2012
holiday,auto,Erster Weihnachtstag,DE,2012-12-25,2012
holiday,auto,Zweiter Weihnachtstag,DE,2012-12-26,2012
holiday,auto,Neujahr,DE,2013-01-01,2013
holiday,auto,Karfreitag,DE,2013-03-29,2013
holiday,auto,Ostermontag,DE,2013-04-01,2013
holiday,auto,Erster Mai,DE,2013-05-01,2013
holiday,auto,Christi Himmelfahrt,DE,2013-05-09,2013
holiday,auto,Pfingstmontag,DE,2013-05-20,2013
holiday,auto,Tag der Deutschen Einheit,DE,2013-10-03,2013
holiday,auto,Erster Weihnachtstag,DE,2013-12-25,2013
holiday,auto,Zweiter Weihnachtstag,DE,2013-12-26,2013
holiday,auto,Neujahr,DE,2014-01-01,2014
holiday,auto,Karfreitag,DE,2014-04-18,2014
holiday,auto,Ostermontag,DE,2014-04-21,2014
holiday,auto,Erster Mai,DE,2014-05-01,2014
holiday,auto,Christi Himmelfahrt,DE,2014-05-29,2014
holiday,auto,Pfingstmontag,DE,2014-06-09,2014
holiday,auto,Tag der Deutschen Einheit,DE,2014-10-03,2014
holiday,auto,Erster Weihnachtstag,DE,2014-12-25,2014
holiday,auto,Zweiter Weihnachtstag,DE,2014-12-26,2014
holiday,auto,Neujahr,DE,2015-01-01,2015
holiday,auto,Karfreitag,DE,2015-04-03,2015
holiday,auto,Ostermontag,DE,2015-04-06,2015
holiday,auto,Erster Mai,DE,2015-05-01,2015
holiday,auto,Christi Himmelfahrt,DE,2015-05-14,2015
holiday,auto,Pfingstmontag,DE,2015-05-25,2015
holiday,auto,Tag der Deutschen Einheit,DE,2015-10-03,2015
holiday,auto,Erster Weihnachtstag,DE,2015-12-25,2015
holiday,auto,Zweiter Weihnachtstag,DE,2015-12-26,2015
holiday,auto,Neujahr,DE,2016-01-01,2016
holiday,auto,Karfreitag,DE,2016-03-25,2016
holiday,auto,Ostermontag,DE,2016-03-28,2016
holiday,auto,Erster Mai,DE,2016-05-01,2016
holiday,auto,Christi Himmelfahrt,DE,2016-05-05,2016
holiday,auto,Pfingstmontag,DE,2016-05-16,2016
holiday,auto,Tag der Deutschen Einheit,DE,2016-10-03,2016
holiday,auto,Erster Weihnachtstag,DE,2016-12-25,2016
holiday,auto,Zweiter Weihnachtstag,DE,2016-12-26,2016
holiday,auto,Neujahr,DE,2017-01-01,2017
holiday,auto,Karfreitag,DE,2017-04-14,2017
holiday,auto,Ostermontag,DE,2017-04-17,2017
holiday,auto,Erster Mai,DE,2017-05-01,2017
holiday,auto,Christi Himmelfahrt,DE,2017-05-25,2017
holiday,auto,Pfingstmontag,DE,2017-06-05,2017
holiday,auto,Tag der Deutschen Einheit,DE,2017-10-03,2017
holiday,auto,Reformationstag,DE,2017-10-31,2017
holiday,auto,Erster Weihnachtstag,DE,2017-12-25,2017
holiday,auto,Zweiter Weihnachtstag,DE,2017-12-26,2017
holiday,auto,Neujahr,DE,2018-01-01,2018
holiday,auto,Karfreitag,DE,2018-03-30,2018
holiday,auto,Ostermontag,DE,2018-04-02,2018
holiday,auto,Erster Mai,DE,2018-05-01,2018
holiday,auto,Christi Himmelfahrt,DE,2018-05-10,2018
holiday,auto,Pfingstmontag,DE,2018-05-21,2018
holiday,auto,Tag der Deutschen Einheit,DE,2018-10-03,2018
holiday,auto,Erster Weihnachtstag,DE,2018-12-25,2018
holiday,auto,Zweiter Weihnachtstag,DE,2018-12-26,2018
holiday,auto,Neujahr,DE,2019-01-01,2019
holiday,auto,Karfreitag,DE,2019-04-19,2019
holiday,auto,Ostermontag,DE,2019-04-22,2019
holiday,auto,Erster Mai,DE,2019-05-01,2019
holiday,auto,Christi Himmelfahrt,DE,2019-05-30,2019
holiday,auto,Pfingstmontag,DE,2019-06-10,2019
holiday,auto,Tag der Deutschen Einheit,DE,2019-10-03,2019
holiday,auto,Erster Weihnachtstag,DE,2019-12-25,2019
holiday,auto,Zweiter Weihnachtstag,DE,2019-12-26,2019
holiday,auto,Neujahr,DE,2020-01-01,2020
holiday,auto,Karfreitag,DE,2020-04-10,2020
holiday,auto,Ostermontag,DE,2020-04-13,2020
holiday,auto,Erster Mai,DE,2020-05-01,2020
holiday,auto,Christi Himmelfahrt,DE,2020-05-21,2020
holiday,auto,Pfingstmontag,DE,2020-06-01,2020
holiday,auto,Tag der Deutschen Einheit,DE,2020-10-03,2020
holiday,auto,Erster Weihnachtstag,DE,2020-12-25,2020
holiday,auto,Zweiter Weihnachtstag,DE,2020-12-26,2020
holiday,auto,Neujahr,DE,2021-01-01,2021
holiday,auto,Karfreitag,DE,2021-04-02,2021
holiday,auto,Ostermontag,DE,2021-04-05,2021
holiday,auto,Erster Mai,DE,2021-05-01,2021
holiday,auto,Christi Himmelfahrt,DE,2021-05-13,2021
holiday,auto,Pfingstmontag,DE,2021-05-24,2021
holiday,auto,Tag der Deutschen Einheit,DE,2021-10-03,2021
holiday,auto,Erster Weihnachtstag,DE,2021-12-25,2021
holiday,auto,Zweiter Weihnachtstag,DE,2021-12-26,2021
holiday,auto,Neujahr,DE,2022-01-01,2022
holiday,auto,Karfreitag,DE,2022-04-15,2022
holiday,auto,Ostermontag,DE,2022-04-18,2022
holiday,auto,Erster Mai,DE,2022-05-01,2022
holiday,auto,Christi Himmelfahrt,DE,2022-05-26,2022
holiday,auto,Pfingstmontag,DE,2022-06-06,2022
holiday,auto,Tag der Deutschen Einheit,DE,2022-10-03,2022
holiday,auto,Erster Weihnachtstag,DE,2022-12-25,2022
holiday,auto,Zweiter Weihnachtstag,DE,2022-12-26,2022
holiday,auto,Neujahr,DE,2023-01-01,2023
holiday,auto,Karfreitag,DE,2023-04-07,2023
holiday,auto,Ostermontag,DE,2023-04-10,2023
holiday,auto,Erster Mai,DE,2023-05-01,2023
holiday,auto,Christi Himmelfahrt,DE,2023-05-18,2023
holiday,auto,Pfingstmontag,DE,2023-05-29,2023
holiday,auto,Tag der Deutschen Einheit,DE,2023-10-03,2023
holiday,auto,Erster Weihnachtstag,DE,2023-12-25,2023
holiday,auto,Zweiter Weihnachtstag,DE,2023-12-26,2023
holiday,auto,Neujahr,DE,2024-01-01,2024
holiday,auto,Karfreitag,DE,2024-03-29,2024
holiday,auto,Ostermontag,DE,2024-04-01,2024
holiday,auto,Erster Mai,DE,2024-05-01,2024
holiday,auto,Christi Himmelfahrt,DE,2024-05-09,2024
holiday,auto,Pfingstmontag,DE,2024-05-20,2024
holiday,auto,Tag der Deutschen Einheit,DE,2024-10-03,2024
holiday,auto,Erster Weihnachtstag,DE,2024-12-25,2024
holiday,auto,Zweiter Weihnachtstag,DE,2024-12-26,2024
holiday,auto,Neujahr,DE,2025-01-01,2025
holiday,auto,Karfreitag,DE,2025-04-18,2025
holiday,auto,Ostermontag,DE,2025-04-21,2025
holiday,auto,Erster Mai,DE,2025-05-01,2025
holiday,auto,Christi Himmelfahrt,DE,2025-05-29,2025
holiday,auto,Pfingstmontag,DE,2025-06-09,2025
holiday,auto,Tag der Deutschen Einheit,DE,2025-10-03,2025
holiday,auto,Erster Weihnachtstag,DE,2025-12-25,2025
holiday,auto,Zweiter Weihnachtstag,DE,2025-12-26,2025
holiday,auto,Neujahr,DE,2026-01-01,2026
